report_month,report_date,category,layer_flock_size,lay_rate_pct,weekly_production_cases,source_url,source_type
2020-11,2020-11-01,organic,17146500,,,,seed
2020-11,2020-11-01,non_organic_cage_free,62909000,,,,seed
2020-11,2020-11-01,all_cage_free,80055500,,,,seed
2020-12,2020-12-01,organic,17146500,,,,seed
2020-12,2020-12-01,non_organic_cage_free,62634000,,,,seed
2020-12,2020-12-01,all_cage_free,79780500,,,,seed
2021-01,2021-01-01,organic,17330500,,,,seed
2021-01,2021-01-01,non_organic_cage_free,64955000,,,,seed
2021-01,2021-01-01,all_cage_free,82285500,,,,seed
2021-02,2021-02-01,organic,17491500,,,,seed
2021-02,2021-02-01,non_organic_cage_free,67496000,,,,seed
2021-02,2021-02-01,all_cage_free,84987500,,,,seed
2021-03,2021-03-01,organic,17491500,,,,seed
2021-03,2021-03-01,non_organic_cage_free,67496000,,,,seed
2021-03,2021-03-01,all_cage_free,84987500,,,,seed
2021-04,2021-04-01,organic,17491500,,,,seed
2021-04,2021-04-01,non_organic_cage_free,68541000,,,,seed
2021-04,2021-04-01,all_cage_free,86032500,,,,seed
2021-05,2021-05-01,organic,17491500,,,,seed
2021-05,2021-05-01,non_organic_cage_free,68541000,,,,seed
2021-05,2021-05-01,all_cage_free,86032500,,,,seed
2021-06,2021-06-01,organic,17491500,,,,seed
2021-06,2021-06-01,non_organic_cage_free,68541000,,,,seed
2021-06,2021-06-01,all_cage_free,86032500,,,,seed
2021-07,2021-07-01,organic,17491500,,,,seed
2021-07,2021-07-01,non_organic_cage_free,68541000,,,,seed
2021-07,2021-07-01,all_cage_free,86032500,,,,seed
2021-08,2021-08-01,organic,17802000,,,,seed
2021-08,2021-08-01,non_organic_cage_free,73480000,,,,seed
2021-08,2021-08-01,all_cage_free,91282000,,,,seed
2021-09,2021-09-01,organic,17434000,,,,seed
2021-09,2021-09-01,non_organic_cage_free,75053000,,,,seed
2021-09,2021-09-01,all_cage_free,92487000,,,,seed
2021-10,2021-10-01,organic,17491500,,,,seed
2021-10,2021-10-01,non_organic_cage_free,75372000,,,,seed
2021-10,2021-10-01,all_cage_free,92863500,,,,seed
2021-11,2021-11-01,organic,17411000,,,,seed
2021-11,2021-11-01,non_organic_cage_free,76912000,,,,seed
2021-11,2021-11-01,all_cage_free,94323000,,,,seed
2021-12,2021-12-01,organic,18180000,,,,seed
2021-12,2021-12-01,non_organic_cage_free,92929200,,,,seed
2021-12,2021-12-01,all_cage_free,111109200,,,,seed
2022-01,2022-01-01,organic,18180000,,,,seed
2022-01,2022-01-01,non_organic_cage_free,92929200,,,,seed
2022-01,2022-01-01,all_cage_free,111109200,,,,seed
2022-02,2022-02-01,organic,18174767,,,,seed
2022-02,2022-02-01,non_organic_cage_free,92928000,,,,seed
2022-02,2022-02-01,all_cage_free,111102767,,,,seed
2022-03,2022-03-01,organic,18174767,,,,seed
2022-03,2022-03-01,non_organic_cage_free,90508000,,,,seed
2022-03,2022-03-01,all_cage_free,108682767,,,,seed
2022-04,2022-04-01,organic,18174767,,,,seed
2022-04,2022-04-01,non_organic_cage_free,90508000,,,,seed
2022-04,2022-04-01,all_cage_free,108682767,,,,seed
2022-05,2022-05-01,organic,17974837,,,,seed
2022-05,2022-05-01,non_organic_cage_free,88506000,,,,seed
2022-05,2022-05-01,all_cage_free,106480837,,,,seed
2022-06,2022-06-01,organic,17984833,,,,seed
2022-06,2022-06-01,non_organic_cage_free,85569000,,,,seed
2022-06,2022-06-01,all_cage_free,103553833,,,,seed
2022-07,2022-07-01,organic,17984833,,,,seed
2022-07,2022-07-01,non_organic_cage_free,87021000,,,,seed
2022-07,2022-07-01,all_cage_free,105005833,,,,seed
2022-08,2022-08-01,organic,17984833,,,,seed
2022-08,2022-08-01,non_organic_cage_free,87131000,,,,seed
2022-08,2022-08-01,all_cage_free,105115833,,,,seed
2022-09,2022-09-01,organic,17984833,,,,seed
2022-09,2022-09-01,non_organic_cage_free,87109000,,,,seed
2022-09,2022-09-01,all_cage_free,105093833,,,,seed
2022-10,2022-10-01,organic,17984833,,,,seed
2022-10,2022-10-01,non_organic_cage_free,88759000,,,,seed
2022-10,2022-10-01,all_cage_free,106743833,,,,seed
2022-11,2022-11-01,organic,17984833,,,,seed
2022-11,2022-11-01,non_organic_cage_free,88814000,,,,seed
2022-11,2022-11-01,all_cage_free,106798833,,,,seed
2022-12,2022-12-01,organic,18034386,,,,seed
2022-12,2022-12-01,non_organic_cage_free,88000000,,,,seed
2022-12,2022-12-01,all_cage_free,106034386,,,,seed
2023-01,2023-01-01,organic,17464318,,,,seed
2023-01,2023-01-01,non_organic_cage_free,93599000,,,,seed
2023-01,2023-01-01,all_cage_free,111063318,,,,seed
2023-02,2023-02-01,organic,16748968,,,,seed
2023-02,2023-02-01,non_organic_cage_free,98153000,,,,seed
2023-02,2023-02-01,all_cage_free,114901968,,,,seed
2023-03,2023-03-01,organic,17558594,,,,seed
2023-03,2023-03-01,non_organic_cage_free,102146000,,,,seed
2023-03,2023-03-01,all_cage_free,119704594,,,,seed
2023-04,2023-04-01,organic,18198274,,,,seed
2023-04,2023-04-01,non_organic_cage_free,103169000,,,,seed
2023-04,2023-04-01,all_cage_free,121367274,,,,seed
2023-05,2023-05-01,organic,18198274,,,,seed
2023-05,2023-05-01,non_organic_cage_free,103389000,,,,seed
2023-05,2023-05-01,all_cage_free,121587274,,,,seed
2023-06,2023-06-01,organic,18198274,,,,seed
2023-06,2023-06-01,non_organic_cage_free,103389000,,,,seed
2023-06,2023-06-01,all_cage_free,121587274,,,,seed
2023-07,2023-07-01,organic,18168283,,,,seed
2023-07,2023-07-01,non_organic_cage_free,102982000,,,,seed
2023-07,2023-07-01,all_cage_free,121150283,,,,seed
2023-08,2023-08-01,organic,18862418,,,,seed
2023-08,2023-08-01,non_organic_cage_free,105798000,,,,seed
2023-08,2023-08-01,all_cage_free,124660418,,,,seed
2023-09,2023-09-01,organic,18862418,,,,seed
2023-09,2023-09-01,non_organic_cage_free,107382000,,,,seed
2023-09,2023-09-01,all_cage_free,126244418,,,,seed
2023-10,2023-10-01,organic,18862418,,,,seed
2023-10,2023-10-01,non_organic_cage_free,107382000,,,,seed
2023-10,2023-10-01,all_cage_free,126244418,,,,seed
2023-11,2023-11-01,organic,18862418,,,,seed
2023-11,2023-11-01,non_organic_cage_free,106282000,,,,seed
2023-11,2023-11-01,all_cage_free,125144418,,,,seed
2023-12,2023-12-01,organic,18482540,,,,seed
2023-12,2023-12-01,non_organic_cage_free,105402000,,,,seed
2023-12,2023-12-01,all_cage_free,123884540,,,,seed
2024-01,2024-01-01,organic,18382540,,,,seed
2024-01,2024-01-01,non_organic_cage_free,103902000,,,,seed
2024-01,2024-01-01,all_cage_free,122284540,,,,seed
2024-02,2024-02-01,organic,18332604,,,,seed
2024-02,2024-02-01,non_organic_cage_free,106546000,,,,seed
2024-02,2024-02-01,all_cage_free,124878604,,,,seed
2024-03,2024-03-01,organic,18232594,,,,seed
2024-03,2024-03-01,non_organic_cage_free,106524000,,,,seed
2024-03,2024-03-01,all_cage_free,124756594,,,,seed
2024-04,2024-04-01,organic,16743178,,,,seed
2024-04,2024-04-01,non_organic_cage_free,99231000,,,,seed
2024-04,2024-04-01,all_cage_free,115974178,,,,seed
2024-05,2024-05-01,organic,19762655,,,,seed
2024-05,2024-05-01,non_organic_cage_free,102256000,,,,seed
2024-05,2024-05-01,all_cage_free,122018655,,,,seed
2024-06,2024-06-01,organic,19762655,,,,seed
2024-06,2024-06-01,non_organic_cage_free,101431000,,,,seed
2024-06,2024-06-01,all_cage_free,121193655,,,,seed
2024-07,2024-07-01,organic,19592731,,,,seed
2024-07,2024-07-01,non_organic_cage_free,100720400,,,,seed
2024-07,2024-07-01,all_cage_free,120313131,,,,seed
2024-08,2024-08-01,organic,19572859,,,,seed
2024-08,2024-08-01,non_organic_cage_free,103988500,,,,seed
2024-08,2024-08-01,all_cage_free,123561359,,,,seed
2024-09,2024-09-01,organic,20842147,,,,seed
2024-09,2024-09-01,non_organic_cage_free,106882900,,,,seed
2024-09,2024-09-01,all_cage_free,127725047,,,,seed
2024-10,2024-10-01,organic,20842147,,,,seed
2024-10,2024-10-01,non_organic_cage_free,106645300,,,,seed
2024-10,2024-10-01,all_cage_free,127487447,,,,seed
2024-11,2024-11-01,organic,20311392,,,,seed
2024-11,2024-11-01,non_organic_cage_free,105549200,,,,seed
2024-11,2024-11-01,all_cage_free,125860592,,,,seed
2024-12,2024-12-01,organic,20340593,,,,seed
2024-12,2024-12-01,non_organic_cage_free,99966000,,,,seed
2024-12,2024-12-01,all_cage_free,120306593,,,,seed
2025-01,2025-01-01,organic,20340593,,,,seed
2025-01,2025-01-01,non_organic_cage_free,100980071,,,,seed
2025-01,2025-01-01,all_cage_free,121320664,,,,seed
2025-02,2025-02-01,organic,20460557,,,,seed
2025-02,2025-02-01,non_organic_cage_free,103669800,,,,seed
2025-02,2025-02-01,all_cage_free,124130357,,,,seed
2025-03,2025-03-01,organic,20410572,,,,seed
2025-03,2025-03-01,non_organic_cage_free,105430200,,,,seed
2025-03,2025-03-01,all_cage_free,125840772,,,,seed
2025-04,2025-04-01,organic,20410572,,,,seed
2025-04,2025-04-01,non_organic_cage_free,105322200,,,,seed
2025-04,2025-04-01,all_cage_free,125732772,,,,seed
2025-05,2025-05-01,organic,19840748,,,,seed
2025-05,2025-05-01,non_organic_cage_free,109318200,,,,seed
2025-05,2025-05-01,all_cage_free,129158948,,,,seed
2025-06,2025-06-01,organic,19840748,,,,seed
2025-06,2025-06-01,non_organic_cage_free,110733000,,,,seed
2025-06,2025-06-01,all_cage_free,130573748,,,,seed
2025-07,2025-07-01,organic,20010754,,,,seed
2025-07,2025-07-01,non_organic_cage_free,113826400,,,,seed
2025-07,2025-07-01,all_cage_free,133837154,,,,seed
2025-08,2025-08-01,organic,20010754,,,,seed
2025-08,2025-08-01,non_organic_cage_free,116342800,,,,seed
2025-08,2025-08-01,all_cage_free,136353554,,,,seed
2025-09,2025-09-01,organic,19950684,,,,seed
2025-09,2025-09-01,non_organic_cage_free,116634400,,,,seed
2025-09,2025-09-01,all_cage_free,136585084,,,,seed
2025-10,2025-10-01,organic,19950684,,,,seed
2025-10,2025-10-01,non_organic_cage_free,116634400,,,,seed
2025-10,2025-10-01,all_cage_free,136585084,,,,seed
2025-11,2025-11-01,organic,19950684,,,,seed
2025-11,2025-11-01,non_organic_cage_free,116634400,,,,seed
2025-11,2025-11-01,all_cage_free,136585084,,,,seed
2025-12,2025-12-01,organic,20897804,,,,seed
2025-12,2025-12-01,non_organic_cage_free,119519700,,,,seed
2025-12,2025-12-01,all_cage_free,140417504,,,,seed
2026-01,2026-01-01,organic,20966448,,,,seed
2026-01,2026-01-01,non_organic_cage_free,121808600,,,,seed
2026-01,2026-01-01,all_cage_free,142775048,,,,seed
